id;type_document;numero_document;fichier_url
1;malade vide;vraiment d’autant que;imprimer
2;pour que commis de cuisine rectangulaire;pour que;dring pacifique quant à
3;avouer au défaut de;jeune cyan;moins puisque
4;de façon à ce que partenaire;gestionnaire décharger;auprès de oups via
5;actionnaire;guère;membre titulaire en dépit de drelin
6;tic-tac ouin triathlète;commis;avant
7;au-delà;avant que autrefois;magnifique
8;convaincre bof autrement;vlan gens pendant que;toc-toc avant
9;miaou durant pin-pon;jeune violer;splendide actionnaire foule
10;de manière à ce que tant;boum;camarade
